grade,issue_year,total_loans,avg_interest_rate,avg_dti,avg_income,defaulted_loans,default_rate_percent
A,2015,73336,6.94,16.28,91316.0,4007,5.46
B,2015,117606,10.04,18.05,79193.0,14180,12.06
C,2015,120566,13.3,19.73,72800.0,24001,19.91
D,2015,62653,16.72,21.54,68464.0,17630,28.14
E,2015,34948,19.29,21.82,70850.0,12285,35.15
F,2015,9817,23.61,21.53,71779.0,4291,43.71
G,2015,2167,26.84,20.29,70203.0,1047,48.32
A,2018,19496,6.74,16.91,87632.0,385,1.97
B,2018,23675,10.53,19.19,79999.0,1031,4.35
C,2018,21058,14.18,20.71,74659.0,1578,7.49
D,2018,11172,19.18,22.54,69958.0,1348,12.07
E,2018,2700,25.0,24.54,69025.0,445,16.48
F,2018,498,29.39,27.78,69323.0,104,20.88
G,2018,90,30.8,36.99,67721.0,21,23.33
